recipient_uei,full_addy,recipient_CAGE,recipient_name,recipient_dba,phys_address_01,phys_address_02,phys_address_city,phys_address_st,phys_address_ZIP,phys_address_ZIP2,phys_address_country,phys_address_cong_dist,recipient_url,entity_structure,bus_type_counter,bus_type_string,primary_NAICS,NAICS_code_counter,NAICS_code_string,PSC_code_counter,PSC_code_string,street,city,state,postalcode,lat,long,full_address
SNNWKNGY51L7,275 WESTMINSTER ST NA PROVIDENCE RI 02903,6KRD2,TRINITY ACADEMY FOR THE PERFORMING ARTS,NA,275 WESTMINSTER ST,NA,PROVIDENCE,RI,02903,3434,USA,02,http://www.tapaprovidence.org,2A,0005,12~C8~GW~H6~M8,NA,0000,NA,0000,NA,275 WESTMINSTER ST,PROVIDENCE,RI,02903,41.822454,-71.413412,NA
SNNYJWMWXAL5,2705 W ORANGE AVE NA ANAHEIM CA 92804,5XGG4,MAGNOLIA SCHOOL DISTRICT,NA,2705 W ORANGE AVE,NA,ANAHEIM,CA,92804,3203,USA,46,https://www.magnoliasd.org/,2A,0002,12~H6,923110,0001,923110N,0000,NA,2705 W ORANGE AVE,ANAHEIM,CA,92804,33.825263,-117.9801194,NA
SNQ6M7S6TK89,33 GILMER ST SE NA ATLANTA GA 30303,4B593,GEORGIA STATE UNIVERSITY,NA,33 GILMER ST SE,NA,ATLANTA,GA,30303,3044,USA,05,www.gsu.edu,2A,0003,2F~M8~OH,541714,0005,541611N~541713N~541714N~541720N~611430N,0000,NA,33 GILMER ST SE,ATLANTA,GA,30303,33.7535889,-84.38542086620515,NA
SNUUZP3E4YK5,100 S BICKFORD AVE NA EL RENO OK 73036,4C848,EL RENO PUBLIC SCHOOLS,NA,100 S BICKFORD AVE,NA,EL RENO,OK,73036,2720,USA,03,NA,2A,0003,12~2F~H6,NA,0000,NA,0000,NA,100 S BICKFORD AVE,EL RENO,OK,73036,35.533061,-97.953895,NA
SNXDLGFC2FN3,5358 W COMMERCE ST NA SAN ANTONIO TX 78237,4K9F2,EDGEWOOD I.S.D. PUBLIC FACILITY CORPORATION,EDGEWOOD INDEPENDENT SCHOOL DISTRICT,5358 W COMMERCE ST,NA,SAN ANTONIO,TX,78237,1354,USA,20,http://www.eisd.net,2A,0002,12~H6,NA,0000,NA,0000,NA,5358 W COMMERCE ST,SAN ANTONIO,TX,78237,29.43196472413793,-98.5671205862069,NA
SP3CV9MFLS69,108 N 40TH ST NA PHOENIX AZ 85034,31FZ6,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT,GATEWAY COMMUNITY COLLEGE,108 N 40TH ST,NA,PHOENIX,AZ,85034,1704,USA,03,NA,2A,0006,12~2F~C7~GW~M8~OH,611210,0001,611210N,0001,B529,108 N 40TH ST,PHOENIX,AZ,85034,33.4480918,-111.9954147,NA
SPMHKRXZJQ75,2500 W COLONIAL DR NA ORLANDO FL 32804,99D98,COUNTY OF ORANGE,COUNTY OF ORANGE,2500 W COLONIAL DR,NA,ORLANDO,FL,32804,8005,USA,10,www.ocso.com,2A,0002,12~C7,922120,0001,922120N,0000,NA,2500 W COLONIAL DR,ORLANDO,FL,32804,28.55300480157729,-81.41175393880066,NA
SPNLNRXJB7J1,31111 GREENSPOT RD NA HIGHLAND CA 92346,54AL9,EAST VALLEY WATER DISTRICT,NA,31111 GREENSPOT RD,NA,HIGHLAND,CA,92346,4427,USA,33,http://www.eastvalley.org/,2A,0002,12~ZR,NA,0000,NA,0000,NA,31111 GREENSPOT RD,HIGHLAND,CA,92346,34.1084395,-117.1861827,NA
SQCDDKFXB5C8,583 NEWARK AVE NA JERSEY CITY NJ 07306,5C027,COUNTY OF HUDSON,NA,583 NEWARK AVE,NA,JERSEY CITY,NJ,07306,2301,USA,10,NA,2A,0002,12~C7,NA,0000,NA,0000,NA,583 NEWARK AVE,JERSEY CITY,NJ,07306,40.732011666666665,-74.05713866666666,NA
SQV1GLJ7M7T4,100 S ARCH ST NA LITTLE ROCK AR 72201,38EB8,"HOUSING AUTHORITY OF THE CITY OF LITTLE ROCK, ARKANSAS",NA,100 S ARCH ST,NA,LITTLE ROCK,AR,72201,2302,USA,02,http://www.lrhousing.org,2A,0004,12~8B~H2~ZR,925110,0001,925110N,0000,NA,100 S ARCH ST,LITTLE ROCK,AR,72201,34.748797,-92.276441,NA
